Pol,Lokacija,Other,Godine,Koliko dugo se profesionalno baviš programiranjem?,HTML/CSS,C,C++,C#,Java,Javascript,PHP,Python,Objective-C,Swift,Ruby,SQL,Scala,Other,Koliko godina radiš sa HTML/CSS-om?,Koliko godina radiš sa C-om?,Koliko godina radiš sa C#-om?,ASP.NET,.NET,Unity,Other,Koliko godina radiš sa C++-om?,Koliko dugo radiš sa Javom?,Android,JEE,Spring,Scala,Grails,Play,Other,Koliko dugo radiš sa JS-om?,AngularJS,BackboneJS,React,Node,Other,Express,Hapi,Other,Koliko dugo radiš sa PHPom?,WordPress,Drupal,Magento,Zend,Laravel,Other,Koliko dugo radiš sa Pythonom?,Koliko dugo radiš sa Objective-C?,Koliko dugo radiš sa Swiftom?,Koliko dugo radiš sa Rubyjem?,Koliko dugo radiš sa Scalom?,Koliko dugo radiš sa SQLom?,Koliko dugo radiš sa drugim jezikom koji si naveo?,Označi platformu sa kojom si dominantno radio/la do sada?,HTML/CSS,C,C++,C#,Node,Java,Javascript,PHP,Python,Objective-C,Swift,Ruby,SQL,Scala,Go,Other,U koju grupu developera (ili softverskih inženjera) sebe ubrajaš?,Da li koristiš nešto za verzionisanje koda?,SVN,Git,Mercurial,Aerial,Other,Atom,Eclipse,IntelliJ,Netbeans,Sublime,Visual Studio,PHP Storm,Other,Windows,Mac OS,Linux,Unix,Other,Formalno obrazovanje — da li si završio/la fakultet ili višu školu?,Šta si studirao/la?,Other,Šta si završio/la?,Other,formalno obrazovanje,kursevi i obuke,samostalno učenje i praksa,praksa i učenje uz iskusnije kolege,Da li praviš/učestvuješ u open source projektima?,Koliko sati nedeljno posvećuješ open-source projektima?,Gde su postavljeni ovi projekti?,Razgovorajući sa prijateljima i kolegama,Prateći blogove i onlajn magazine,Na drutšvenim mrežama,Na događajima,Kroz knjige,Kroz video tutorijale,Radeći solo projekte u novim tehnologijama,Trudim se da ih inkorporiram u projekte na kojima radim,Kroz kompaniju u kojoj radim,Other,Pročitao/la segment ili celu knjigu o programiranju?,Pogledao/la neki video tutorijal?,Pohađao/la kurs?,Posetio/la programerski događaj?,Da li poseduješ neki sertifikat za tehnologiju u kojoj radiš?,Koliko sertifikata poseduješ?,Kada si dobio/la poslednji sertifikat?,Da li su uticali na tvoje zaposlenje/angažman?,A na novčanu nadoknadu?,Trenutno zaposlenje,Australija,Afrika,Azija,Zapadna Evropa,Istočna Evropa,Centralna Evropa,Severna Amerika,Južna Amerika,Other,Na koji način dominantno dolaziš do klijenata?,Other,Elance,Freelance,UpWork (bivši ODesk),Other,Koliko zaposlenih ima tvoja firma?,Pre preduzetništva dominantno si bio/la,usluge za klijente,sopstveni proizvodi za lok/reg tržište,sopstveni proizvodi za globalno tržište,Koji je iznos plate za koju radiš?,Koja je tvoja pozicija na poslu?,U koliko firmi si radio/la do sada?,Da li i koliko u proseku frilensuješ (radiš za novac) sa strane?,Koliko zaposlenih ima tvoja firma?,usluge za klijente,sopstveni proizvodi,domaće,strano,mešovito,ne znam,strano,domaće,Standardno zaposlenje (Ugovor o radu),Preko preduzetničke agencije,Ugovor o delu,Autorski ugovor,"Na virtuelni račun (PayPal, Skrill, Payoneer)",Stažiram uz nadoknadu,Volontiram,"Deo na ruke, deo po Ugovoru",Dobijam keš na ruke,Other,Koliki je iznos nadoknade za koju radiš?,Koliko dana odmora dobijaš?,"Koliko sati, prosečno, traje tvoj radni dan?",Da li si plaćen/a za prekovremeni rad?,fleksibilno radno vreme,kompanijski automobil,plaćena odsustva,plaćene obuke i treninge,ručak na poslu,mogućnost predlaganja sopstvenih projekata,dodatno zdravstveno i/ili penziono osiguranje,Other,Koliko si zadovoljan/a trenutnim poslom?,Koji je dominantan razlog zbog kojeg si promenio poslednje radno mesto?,Da li planiraš u budućnosti da pokreneš svoj biznis?,Šta misliš da je najizvesnije da ćeš pokrenuti?,Other,Šta je to na čemu radiš?,Other,Da li imaš neko mišljenje o srpskoj dev sceni koje bi želeo da podeliš sa nama? Da li imaš neko mišljenje o tome kako bi mogla da se unapredi?,source,Start Date (UTC),Submit Date (UTC)
Muški,Beograd,,29,10,HTML/CSS,,,,,Javascript,PHP,Python,,,Ruby,SQL,,,10,,,,,,,,,,,,,,,,6,AngularJS,,,,,,,,8,WordPress,,Magento,,,,3,,,3,,6,,web,HTML/CSS,,,,Node,,,PHP,,,,,,,,,,Koristim,SVN,Git,Mercurial,,,,,,,Sublime,,,,,Mac OS,,,,"Da, master",,,,,1,5,5,5,da,više od 10 sati,sopstveni sajt,,Prateći blogove i onlajn magazine,,Na događajima,,Kroz video tutorijale,,,,,Tokom prethodnog meseca,Tokom prethodnog meseca,Tokom prethodnog meseca,Tokom prethodnog meseca,ne,,,,,Zaposlen/a,,,,,,,,,,,,,,,,,,,,,,vođa tima,3,od 10 do 20h nedeljno,20,usluge za klijente,sopstveni proizvodi,domaće,strano,,,strano,,,Preko preduzetničke agencije,,,,,,,,,2000-2500€,20,10,da,fleksibilno radno vreme,,plaćena odsustva,plaćene obuke i treninge,ručak na poslu,,,,5,,"da, planiram",startap / proizvod za globalno tržište,,,,"Nažalost je u našoj prirodi da nismo open source okrenuti i koliko god ljudi delili svoje znanje, uvek može više. 

tldr; srpska scena je podeljena, i me jako pogađa. Čak i unutar samih zajednica ima nebrojano mnogo struja.",,10/12/2015 22:25:23,10/12/2015 22:37:09
Muški,Beograd,,29,7,HTML/CSS,C,,,,Javascript,PHP,,,,,,,,7,2,,,,,,,,,,,,,,,7,AngularJS,BackboneJS,React,Node,,Express,Hapi,,5,,,,,,,,,,,,,,web,,,,,Node,,Javascript,,,,Swift,,,,,Rust,,Koristim,,Git,,,,Atom,,,,Sublime,,,,,Mac OS,,,,Studirao i nikad završio/la,,,,,3,1,5,4,da,više od 10 sati,github,Razgovorajući sa prijateljima i kolegama,,Na drutšvenim mrežama,,,,,,Kroz kompaniju u kojoj radim,,Tokom prethodnog meseca,Pre više od godinu dana,Nikada,Tokom prethodnog meseca,ne,,,,,Samozaposlen/a: (su)vlasnik svoje firme,,,,,,,,,,,,,,,,12,,usluge za klijente,,,2500-3000€,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/13/2015 6:53:34,10/13/2015 6:59:42
Muški,Beograd,,26,5,HTML/CSS,,,,Java,,PHP,Python,,,,,,,5,,,,,,,,2,Android,JEE,,,,,,,,,,,,,,,5,,,,,Laravel,,3,,,,,,,web,HTML/CSS,,,,,,,,,,,,,,,,,Koristim,,Git,,,,,,,,Sublime,,,,Windows,,,,,"Da, fakultet",,,,asdas,3,3,3,3,da,1 sat ili manje,github,,Prateći blogove i onlajn magazine,,,,,,,,,Nikada,Nikada,Nikada,Nikada,ne,,,,,Nezaposlen/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ne znam,,,,,,,10/13/2015 8:05:57,10/13/2015 8:10:24
Muški,Novi Sad,,33,10,HTML/CSS,,,C#,Java,Javascript,,,,,,SQL,,,10,,1,,,,,,,,,,,,,custom java development,9,AngularJS,,,Node,,Express,,,,,,,,,,,,,,,8,,web,,,,,Node,,Javascript,,,,,,,Scala,,,,Koristim,,Git,,,,,Eclipse,,,Sublime,,,Atom,,Mac OS,Linux,,,"Da, fakultet",,,PMF,,2,3,4,5,ne,,,Razgovorajući sa prijateljima i kolegama,Prateći blogove i onlajn magazine,,Na događajima,Kroz knjige,Kroz video tutorijale,Radeći solo projekte u novim tehnologijama,,Kroz kompaniju u kojoj radim,,Tokom prethodnog meseca,Tokom prethodnog meseca,Tokom prethodnog meseca,Tokom prethodnog meseca,ne,,,,,Nezaposlen/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ne planiram,,,,,Trebali bi da se polako sklonimo od outsourcing mentaliteta i da vise radimo na timskom radu i odgovornosti u radu.,,10/13/2015 8:52:39,10/13/2015 8:58:43
Muški,,Obrenovac,26,2,HTML/CSS,,,,,,,Python,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,web,,,,C#,,,,,Python,,,Ruby,,,,,junior developer,Ne koristim,,,,,,,,,,Sublime,,,,Windows,,Linux,,,"Da, fakultet",,,ETF,,1,4,5,5,ne,,,Razgovorajući sa prijateljima i kolegama,Prateći blogove i onlajn magazine,,Na događajima,,,,,,,U protekla 3 meseca,Tokom prethodnog meseca,Pre više od godinu dana,Tokom prethodnog meseca,ne,,,,,Samozaposlen/a: (su)vlasnik svoje firme,,,,,,,,,,,,,,,,4,zaposlen/a u firmi,usluge za klijente,,sopstveni proizvodi za globalno tržište,500€ i manje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/13/2015 14:15:42,10/13/2015 14:21:44
Muški,Novi Sad,,29,7,HTML/CSS,C,C++,C#,Java,Javascript,PHP,,Objective-C,,,SQL,,,6,1,,,,,,1,3,,JEE,,,,,,6,AngularJS,BackboneJS,,Node,,Express,,,6,WordPress,,,Zend,Laravel,,,1,,,,5,,web,,,,,Node,,Javascript,PHP,Python,,,,,,,,senior developer,Koristim,,Git,,,,,,,,Sublime,,,,,Mac OS,,,,"Da, master",,,,,3,2,5,4,da,2-4 sata,github,Razgovorajući sa prijateljima i kolegama,Prateći blogove i onlajn magazine,Na drutšvenim mrežama,,,Kroz video tutorijale,,,Kroz kompaniju u kojoj radim,,Pre više od godinu dana,Tokom prethodnog meseca,Nikada,Tokom prethodnog meseca,ne,,,,,Samozaposlen/a: (su)vlasnik svoje firme,,,,,,,,,,,,,,,,22,zaposlen/a u firmi,usluge za klijente,,sopstveni proizvodi za globalno tržište,3500-4000€,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/15/2015 11:05:08,10/15/2015 11:10:20
Ženski,Beograd,,23,3,HTML/CSS,,,,Java,Javascript,,,,,,SQL,,,3,,,,,,,,2,,JEE,,,,,,2,AngularJS,,,,,,,,,,,,,,,,,,,,1,,web,HTML/CSS,,,C#,,Java,Javascript,,Python,,,,SQL,,,,junior developer,Ne koristim,,,,,,,,,Netbeans,Sublime,,,,Windows,,Linux,,,Još uvek studiram,,FIT,,FIT,4,3,4,4,ne,,,,Prateći blogove i onlajn magazine,,,,,Radeći solo projekte u novim tehnologijama,,,,Tokom prethodnog meseca,Tokom prethodnog meseca,Nikada,Pre više od godinu dana,ne,,,,,Samozaposlen/a — (freelance),,,,,,,Severna Amerika,,,preko platforme (poput Elance),,Elance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"možda, ako se pojavi dobra prilika",,,,,,,10/15/2015 11:06:50,10/15/2015 11:11:15
Muški,Kragujevac,,26,1,,,,C#,,,,,,,,,,,,,1,,,Unity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile,HTML/CSS,,,C#,,Java,,PHP,,,,,,,,,junior developer,Ne koristim,,,,,,,,,,,Visual Studio,,,Windows,,,,,Nisam,,,,,4,4,5,1,ne,,,,,Na drutšvenim mrežama,,Kroz knjige,Kroz video tutorijale,,,,,U protekla 3 meseca,Tokom prethodnog meseca,U proteklih 6 meseci,Nikada,ne,,,,,Nezaposlen/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"da, planiram",servisan / autsorsing biznis,,,,,,10/15/2015 11:05:53,10/15/2015 11:11:31
Muški,Beograd,,30,7,HTML/CSS,,,,Java,Javascript,,Python,,,,SQL,,Clojure,5,,,,,,,,7,Android,JEE,Spring,,,,,4,AngularJS,,React,Node,,Express,,,,,,,,,,2,,,,,7,,web,,,,,,,,,,,Swift,,,Scala,,Haskel,senior developer,Koristim,,Git,,,,Atom,,IntelliJ,,,,,WebStorm,,Mac OS,,,,"Da, master",,,,,4,4,5,4,ne,,,Razgovorajući sa prijateljima i kolegama,Prateći blogove i onlajn magazine,Na drutšvenim mrežama,Na događajima,,,,Trudim se da ih inkorporiram u projekte na kojima radim,Kroz kompaniju u kojoj radim,,U toku prethodnih godinu dana,Pre više od godinu dana,Pre više od godinu dana,U proteklih 6 meseci,ne,,,,,Samozaposlen/a — (freelance),,,,,,,Severna Amerika,,,preko preporuke,,,Freelance,,No account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,već sam pokrenuo/la,,,startap / proizvod za globalno tržište,,,,10/15/2015 11:07:40,10/15/2015 11:12:01
Muški,Novi Sad,,19,1,HTML/CSS,,,C#,,Javascript,PHP,,,,,,,,2,,1,ASP.NET,.NET,,,,,,,,,,,,1,AngularJS,,,,,,,,1,WordPress,Drupal,,,,,,,,,,,,web,,C,C++,,,,,,,,,Ruby,,,,,junior developer,Ne koristim,,,,,,,,,,Sublime,Visual Studio,,,Windows,,,,,Još uvek studiram,,Fimek,,Fimek,3,1,5,2,ne,,,Razgovorajući sa prijateljima i kolegama,,Na drutšvenim mrežama,,,Kroz video tutorijale,,,,,Nikada,Tokom prethodnog meseca,Nikada,U proteklih 6 meseci,ne,,,,,Nezaposlen/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"da, planiram",startap / proizvod za globalno tržište,,,,,,10/15/2015 11:08:23,10/15/2015 11:12:44
