Pol,Lokacija,Other,Godine,Koliko dugo se profesionalno baviš programiranjem?,HTML/CSS,C,C++,C#,Java,Javascript,PHP,Python,Objective-C,Swift,Ruby,SQL,Scala,Other,Koliko godina radiš sa HTML/CSS-om?,Koliko godina radiš sa C-om?,Koliko godina radiš sa C#-om?,ASP.NET,.NET,Unity,Other,Koliko godina radiš sa C++-om?,Koliko dugo radiš sa Javom?,Android,JEE,Spring,Scala,Grails,Play,Other,Koliko dugo radiš sa JS-om?,AngularJS,BackboneJS,React,Node,Other,Express,Hapi,Other,Koliko dugo radiš sa PHPom?,WordPress,Drupal,Magento,Zend,Laravel,Other,Koliko dugo radiš sa Pythonom?,Koliko dugo radiš sa Objective-C?,Koliko dugo radiš sa Swiftom?,Koliko dugo radiš sa Rubyjem?,Koliko dugo radiš sa Scalom?,Koliko dugo radiš sa SQLom?,Koliko dugo radiš sa drugim jezikom koji si naveo?,Označi platformu sa kojom si dominantno radio/la do sada?,HTML/CSS,C,C++,C#,Node,Java,Javascript,PHP,Python,Objective-C,Swift,Ruby,SQL,Scala,Go,Other,U koju grupu developera (ili softverskih inženjera) sebe ubrajaš?,Da li koristiš nešto za verzionisanje koda?,SVN,Git,Mercurial,Aerial,Other,Atom,Eclipse,IntelliJ,Netbeans,Sublime,Visual Studio,PHP Storm,Other,Windows,Mac OS,Linux,Unix,Other,Formalno obrazovanje — da li si završio/la fakultet ili višu školu?,Šta si studirao/la?,Other,Šta si završio/la?,Other,formalno obrazovanje,kursevi i obuke,samostalno učenje i praksa,praksa i učenje uz iskusnije kolege,Da li praviš/učestvuješ u open source projektima?,Koliko sati nedeljno posvećuješ open-source projektima?,Gde su postavljeni ovi projekti?,Razgovorajući sa prijateljima i kolegama,Prateći blogove i onlajn magazine,Na drutšvenim mrežama,Na događajima,Kroz knjige,Kroz video tutorijale,Radeći solo projekte u novim tehnologijama,Trudim se da ih inkorporiram u projekte na kojima radim,Kroz kompaniju u kojoj radim,Other,Pročitao/la segment ili celu knjigu o programiranju?,Pogledao/la neki video tutorijal?,Pohađao/la kurs?,Posetio/la programerski događaj?,Da li poseduješ neki sertifikat za tehnologiju u kojoj radiš?,Koliko sertifikata poseduješ?,Kada si dobio/la poslednji sertifikat?,Da li su uticali na tvoje zaposlenje/angažman?,A na novčanu nadoknadu?,Trenutno zaposlenje,Australija,Afrika,Azija,Zapadna Evropa,Istočna Evropa,Centralna Evropa,Severna Amerika,Južna Amerika,Other,Na koji način dominantno dolaziš do klijenata?,Other,Elance,Freelance,UpWork (bivši ODesk),Other,Koliko zaposlenih ima tvoja firma?,Pre preduzetništva dominantno si bio/la,usluge za klijente,sopstveni proizvodi za lok/reg tržište,sopstveni proizvodi za globalno tržište,Koji je iznos plate za koju radiš?,Koja je tvoja pozicija na poslu?,U koliko firmi si radio/la do sada?,Da li i koliko u proseku frilensuješ (radiš za novac) sa strane?,Koliko zaposlenih ima tvoja firma?,usluge za klijente,sopstveni proizvodi,domaće,strano,mešovito,ne znam,strano,domaće,Standardno zaposlenje (Ugovor o radu),Preko preduzetničke agencije,Ugovor o delu,Autorski ugovor,"Na virtuelni račun (PayPal, Skrill, Payoneer)",Stažiram uz nadoknadu,Volontiram,"Deo na ruke, deo po Ugovoru",Dobijam keš na ruke,Other,Koliki je iznos nadoknade za koju radiš?,Koliko dana odmora dobijaš?,"Koliko sati, prosečno, traje tvoj radni dan?",Da li si plaćen/a za prekovremeni rad?,fleksibilno radno vreme,kompanijski automobil,plaćena odsustva,plaćene obuke i treninge,ručak na poslu,mogućnost predlaganja sopstvenih projekata,dodatno zdravstveno i/ili penziono osiguranje,Other,Koliko si zadovoljan/a trenutnim poslom?,Koji je dominantan razlog zbog kojeg si promenio poslednje radno mesto?,Da li planiraš u budućnosti da pokreneš svoj biznis?,Šta misliš da je najizvesnije da ćeš pokrenuti?,Other,Šta je to na čemu radiš?,Other,Da li imaš neko mišljenje o srpskoj dev sceni koje bi želeo da podeliš sa nama? Da li imaš neko mišljenje o tome kako bi mogla da se unapredi?,source,Start Date (UTC),Submit Date (UTC)
Muški,Niš,,37,10,HTML/CSS,,,C#,,,PHP,,,,,SQL,,Oracle,1,,10,,.NET,,,,,,,,,,,,,,,,,,,,,1,,,,Zend,,,,,,,,10,,standalone,,,,C#,,,,,,,,,SQL,,,,senior developer,Ne koristim,,,,,,,,,,,Visual Studio,,,Windows,,,,,"Da, fakultet",,,Elektronski Niš,,4,3,5,4,ne,,,,Prateći blogove i onlajn magazine,,,,,Radeći solo projekte u novim tehnologijama,,,,Pre više od godinu dana,U toku prethodnih godinu dana,Pre više od godinu dana,Pre više od godinu dana,ne,,,,,Zaposlen/a,,,,,,,,,,,,,,,,,,,,,,član tima,3,ne frilensujem,11,usluge za klijente,,,strano,,,strano,,Standardno zaposlenje (Ugovor o radu),,,,,,,,,,"1,000€",20,8,da,fleksibilno radno vreme,,,,,,,,4,bolja plata,"da, planiram",startap / proizvod za globalno tržište,,,,,,10/15/2015 13:12:57,10/15/2015 13:19:22
Ženski,Beograd,,27,4,,,C++,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,standalone,,,C++,C#,,Java,,,,,,,,,,,mid-level developer,Koristim,SVN,,,,,,,,,,Visual Studio,,,Windows,,,,,"Da, master",,,,,4,2,2,2,ne,,,Razgovorajući sa prijateljima i kolegama,Prateći blogove i onlajn magazine,Na drutšvenim mrežama,,Kroz knjige,Kroz video tutorijale,,Trudim se da ih inkorporiram u projekte na kojima radim,Kroz kompaniju u kojoj radim,,U protekla 3 meseca,Tokom prethodnog meseca,U toku prethodnih godinu dana,Nikada,ne,,,,,Zaposlen/a,,,,,,,,,,,,,,,,,,,,,,član tima,1,ne frilensujem,60,,sopstveni proizvodi,,strano,,,strano,,Standardno zaposlenje (Ugovor o radu),,,,,,,,,,"1,300€",2,8,ne,fleksibilno radno vreme,,,,,,,,3,želja za sticanjem novih znanja i iskustava,"možda, ako se pojavi dobra prilika",,,,,,,10/15/2015 12:29:46,10/15/2015 13:19:38
Muški,Novi Sad,,35,10,HTML/CSS,C,C++,C#,Java,Javascript,,,,,,SQL,,,10,5,,,,,,5,2,,JEE,Spring,,,,,5,AngularJS,,,Node,,,,,,,,,,,,,,,,,10,,web,,,,,Node,Java,,,,,,,,Scala,,,senior developer,Koristim,SVN,Git,,,,,Eclipse,,,,Visual Studio,,,Windows,Mac OS,Linux,,,"Da, master",,,,,3,1,5,4,ne,,,Razgovorajući sa prijateljima i kolegama,Prateći blogove i onlajn magazine,,Na događajima,,,,,Kroz kompaniju u kojoj radim,,Tokom prethodnog meseca,U protekla 3 meseca,Nikada,Tokom prethodnog meseca,da,1,Pre više od godinu dana,ne,ne,Samozaposlen/a: (su)vlasnik svoje firme,,,,,,,,,,,,,,,,70,zaposlen/a u firmi,usluge za klijente,,,10000€ ili više,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vise studenata da upisuje IT studije (ovo se vec desava jer su mladi prepoznali IT kao sansu). Povecati kvote za studente na budzetu (ovo se mnogo slabije desava jer drzava nije prepoznala IT kao sansu ili ne sme da se zameri nekome kome treba smanjiti kvotu).,,10/15/2015 12:57:32,10/15/2015 13:20:47
Muški,Beograd,,35,17,HTML/CSS,C,C++,C#,,Javascript,PHP,,Objective-C,,,,,,15,17,,,,,,14,,,,,,,,,5,AngularJS,,,,,,,,8,WordPress,,,,,,,8,,,,,,mobile,,,C++,,,,Javascript,,,,,,,,,,senior developer,Koristim,SVN,Git,,,,,Eclipse,,,Sublime,Visual Studio,,,Windows,Mac OS,,,,Studirao i nikad završio/la,,,,,1,1,5,2,ne,,,,Prateći blogove i onlajn magazine,,,Kroz knjige,Kroz video tutorijale,,,,,Pre više od godinu dana,Tokom prethodnog meseca,Nikada,U proteklih 6 meseci,ne,,,,,Zaposlen/a,,,,,,,,,,,,,,,,,,,,,,jedna od vodećih u kompaniji,4,ne frilensujem,40,usluge za klijente,sopstveni proizvodi,,strano,,,strano,,Standardno zaposlenje (Ugovor o radu),,,,,,,,,,5000€ i više,20,11,ne,,,,,,mogućnost predlaganja sopstvenih projekata,,,3,bolja plata,već sam pokrenuo/la,,,startap / proizvod za globalno tržište,,,,10/15/2015 13:11:09,10/15/2015 13:22:47
Muški,Novi Sad,,37,9,HTML/CSS,,,,,Javascript,PHP,,,,Ruby,SQL,,,9,,,,,,,,,,,,,,,,9,,,,,vanilla,,,,9,,,Magento,,,,,,,1,,9,,web,,,,,,,,,,,,Ruby,,,,,mid-level developer,Koristim,,Git,,,,Atom,,,,Sublime,,,,,,Linux,,,Studirao i nikad završio/la,,,,,1,1,5,2,ne,,,,Prateći blogove i onlajn magazine,Na drutšvenim mrežama,,,,,Trudim se da ih inkorporiram u projekte na kojima radim,,,Tokom prethodnog meseca,Tokom prethodnog meseca,Nikada,Pre više od godinu dana,ne,,,,,Samozaposlen/a: (su)vlasnik svoje firme,,,,,,,,,,,,,,,,2,zaposlen/a u firmi,usluge za klijente,,,"1,000€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/15/2015 13:19:36,10/15/2015 13:24:47
Muški,Beograd,,38,10,,C,C++,C#,Java,,PHP,,,,,SQL,,,,2,,,,,,3,8,Android,,Spring,,Grails,,,,,,,,,,,,5,,,,Zend,,,,,,,,8,,mobile,,,,C#,,Java,,,Python,,,,,,,,senior developer,Koristim,,Git,,,,,,IntelliJ,,,,,,Windows,Mac OS,Linux,,,"Da, fakultet",,,ETF,,3,2,5,4,ne,,,Razgovorajući sa prijateljima i kolegama,Prateći blogove i onlajn magazine,,,,,Radeći solo projekte u novim tehnologijama,Trudim se da ih inkorporiram u projekte na kojima radim,,,Tokom prethodnog meseca,U protekla 3 meseca,Pre više od godinu dana,U protekla 3 meseca,ne,,,,,Zaposlen/a,,,,,,,,,,,,,,,,,,,,,,vođa nekoliko timova,6,ne frilensujem,70,usluge za klijente,,,strano,,,strano,,,Preko preduzetničke agencije,,,,,,,,,2500-3000€,15,9,da,fleksibilno radno vreme,,plaćena odsustva,,ručak na poslu,,dodatno zdravstveno i/ili penziono osiguranje,,5,bolja plata,"da, planiram",servisan / autsorsing biznis,,,,"mala, i dalje prilično zatvorena. više se povezati bar sa okolnim scenama",,10/15/2015 13:13:34,10/15/2015 13:25:26
Ženski,Beograd,,23,2,HTML/CSS,,,,,Javascript,PHP,,,,,SQL,,,2,,,,,,,,,,,,,,,,1,AngularJS,,,,,,,,2,,,,,Laravel,,,,,,,1,,web,,,,,,,,PHP,,,,,,,,,junior developer,Ne koristim,,,,,,,,,,,,PHP Storm,,Windows,,,,,"Da, višu školu",,,,,5,3,5,4,ne,,,Razgovorajući sa prijateljima i kolegama,Prateći blogove i onlajn magazine,,Na događajima,,Kroz video tutorijale,,,,,U toku prethodnih godinu dana,Tokom prethodnog meseca,Nikada,Tokom prethodnog meseca,da,1,U toku prethodnih godinu dana,ne,ne,Zaposlen/a,,,,,,,,,,,,,,,,,,,,,,član tima,1,ne frilensujem,300,usluge za klijente,,domaće,,,,,domaće,,,Ugovor o delu,,,,,,,,700€,20,8,da,,,plaćena odsustva,plaćene obuke i treninge,,,,,5,želja za sticanjem novih znanja i iskustava,"možda, ako se pojavi dobra prilika",,,,,,,10/15/2015 13:18:57,10/15/2015 13:26:02
Muški,Zrenjanin,,41,10,HTML/CSS,,,,,Javascript,PHP,,,,,SQL,,,10,,,,,,,,,,,,,,,,7,AngularJS,,React,Node,,Express,,,10,WordPress,,,,Laravel,,,,,,,10,,web,HTML/CSS,,,,Node,Java,Javascript,,Python,,,Ruby,,,Go,,mid-level developer,Koristim,,Git,,,,,Eclipse,IntelliJ,Netbeans,Sublime,,PHP Storm,,,,Linux,,,Studirao i nikad završio/la,,,,,3,4,4,5,da,1 sat ili manje,github,,Prateći blogove i onlajn magazine,Na drutšvenim mrežama,Na događajima,Kroz knjige,Kroz video tutorijale,Radeći solo projekte u novim tehnologijama,Trudim se da ih inkorporiram u projekte na kojima radim,,,Tokom prethodnog meseca,Tokom prethodnog meseca,Nikada,U protekla 3 meseca,ne,,,,,Samozaposlen/a — (freelance),,,,,,,,,www,preko platforme (poput Elance),,,Freelance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,već sam pokrenuo/la,,,servisan / autsorsing biznis,,"napreduje, sve bolja i bolja",,10/15/2015 13:18:12,10/15/2015 13:26:12
Muški,Niš,,19,1,HTML/CSS,C,C++,,,,PHP,,,,,SQL,,,1,5,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,Symfony,,,,,,2,,web,,,,,,,,PHP,,,,,SQL,,,,junior developer,Ne koristim,,,,,,,,,,Sublime,,,,Windows,,,,,Još uvek studiram,PMF,,PMF,,1,2,4,5,da,2-4 sata,sopstveni sajt,Razgovorajući sa prijateljima i kolegama,Prateći blogove i onlajn magazine,,,,Kroz video tutorijale,,,,,U toku prethodnih godinu dana,Tokom prethodnog meseca,Nikada,Pre više od godinu dana,ne,,,,,Nezaposlen/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"da, planiram",servisan / autsorsing biznis,,,,,,10/15/2015 13:22:27,10/15/2015 13:27:24
Muški,Beograd,,23,1,,C,C++,,Java,,,,,,,,,,,4,,,,,,1,2,,JEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C++,,,,,,,,,,,,,,junior developer,Ne koristim,,,,,,,Eclipse,,,,,,,,,Linux,,,Još uvek studiram,PMF,,PMF,,2,2,5,4,ne,,,,Prateći blogove i onlajn magazine,,,,,,,,,U protekla 3 meseca,Tokom prethodnog meseca,Tokom prethodnog meseca,U proteklih 6 meseci,ne,,,,,Nezaposlen/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"možda, ako se pojavi dobra prilika",,,,,,,10/15/2015 13:23:53,10/15/2015 13:27:38
Muški,,Vojvodina,33,9,,,,C#,Java,Javascript,PHP,,Objective-C,,,SQL,,,,,3,ASP.NET,.NET,,,,5,Android,,Spring,,Grails,Play,,2,AngularJS,BackboneJS,,,,,,,4,WordPress,,,Zend,,,,4,,,,4,,mobile,,,,,,,,,,Objective-C,,,,,,,senior developer,Koristim,,Git,,,,,,IntelliJ,Netbeans,,,,XCode,,Mac OS,,,,"Da, fakultet",,,PMF,,3,3,5,5,ne,,,Razgovorajući sa prijateljima i kolegama,Prateći blogove i onlajn magazine,Na drutšvenim mrežama,Na događajima,Kroz knjige,Kroz video tutorijale,,Trudim se da ih inkorporiram u projekte na kojima radim,Kroz kompaniju u kojoj radim,,U protekla 3 meseca,U protekla 3 meseca,Pre više od godinu dana,Tokom prethodnog meseca,ne,,,,,Zaposlen/a,,,,,,,,,,,,,,,,,,,,,,vođa tima,3,od 5 do 10h nedeljno,100,usluge za klijente,sopstveni proizvodi,,strano,,,strano,,,Preko preduzetničke agencije,,,,,,,,,3000-3500€,20,8,da,,,,plaćene obuke i treninge,ručak na poslu,,dodatno zdravstveno i/ili penziono osiguranje,,4,bolja plata,"možda, ako se pojavi dobra prilika",,,,,Ne.,,10/15/2015 13:15:57,10/15/2015 13:29:01
Muški,Novi Sad,,33,3,,,,,Java,,,,,,,SQL,,,,,,,,,,,3,,,Spring,,,,,,,,,,,,,,,,,,,,,,,,,,7,,web,,,,,,Java,,,,,,,SQL,,,,junior developer,Koristim,SVN,Git,Mercurial,,,,Eclipse,IntelliJ,,,,,,Windows,,Linux,Unix,,Studirao i nikad završio/la,,,,,4,5,5,5,ne,,,Razgovorajući sa prijateljima i kolegama,,Na drutšvenim mrežama,,,,,,Kroz kompaniju u kojoj radim,,U proteklih 6 meseci,U proteklih 6 meseci,U toku prethodnih godinu dana,Tokom prethodnog meseca,ne,,,,,Zaposlen/a,,,,,,,,,,,,,,,,,,,,,,član tima,3,do 5h nedeljno,60,usluge za klijente,,,strano,,,strano,,Standardno zaposlenje (Ugovor o radu),,,,,,,,,,600€,20,8,da,,,,,,,,Nista od navedenog,4,bolji međuljudski odnosi,ne znam,,,,,"Pa ako bi gazde zaradjivale normalno a developeri imali  dobru platu umjesto da gazde zaradjuju enormno a developeri imaju srednju platu, mislim da bi se pomjerili sa stereotipa gazdinstva u Srbiji a i sami developeri bi bili zadovoljniji... Ako ste shvatili poentu. :)",,10/15/2015 12:55:34,10/15/2015 13:29:02
Muški,Niš,,24,2,,,,C#,,,,,,,,,,,,,2,,,Unity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile,,,C++,C#,,,,,,,,,,,,,junior developer,Koristim,,Git,,,,,,,,,Visual Studio,,MonoDevelop,Windows,,,,,Još uvek studiram,Elektronski Niš,,,Jos uvek studiram,3,1,5,5,ne,,,Razgovorajući sa prijateljima i kolegama,,,,Kroz knjige,Kroz video tutorijale,,,,,Tokom prethodnog meseca,Tokom prethodnog meseca,Tokom prethodnog meseca,U proteklih 6 meseci,ne,,,,,Nezaposlen/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"da, planiram",servisan / autsorsing biznis,,,,,,10/15/2015 13:18:22,10/15/2015 13:29:42
Muški,Beograd,,30,8,HTML/CSS,C,C++,C#,Java,Javascript,PHP,,,,,SQL,,,7,2,,,,,,2,4,,,,,,,Processing,5,,,,Node,pixijs,Express,,,2,,,,,Laravel,,,,,,,2,,web,,,,,,,Javascript,,,,,,,,,,senior developer,Koristim,,Git,,,,,,,,Sublime,,,,Windows,,,,,"Da, fakultet",,,ETF,,4,4,5,2,da,1 sat ili manje,github,Razgovorajući sa prijateljima i kolegama,Prateći blogove i onlajn magazine,Na drutšvenim mrežama,Na događajima,Kroz knjige,Kroz video tutorijale,Radeći solo projekte u novim tehnologijama,Trudim se da ih inkorporiram u projekte na kojima radim,,,Tokom prethodnog meseca,Tokom prethodnog meseca,Tokom prethodnog meseca,Tokom prethodnog meseca,ne,,,,,Samozaposlen/a — (freelance),,,,,,,Severna Amerika,,,uglavnom radim za iste klijente,,,,,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,već sam pokrenuo/la,,,servisan / autsorsing biznis,,,,10/15/2015 13:25:15,10/15/2015 13:31:31
Ženski,Beograd,,47,30,HTML/CSS,C,C++,C#,,,PHP,,,,,SQL,,,5,15,,,,,,10,,,,,,,,,,,,,,,,,,5,WordPress,,,,,,,,,,,5,,web,HTML/CSS,,,,,,,PHP,,,,,SQL,,,,mid-level developer,Ne koristim,,,,,,,,,,,Visual Studio,,,Windows,,Linux,,,"Da, fakultet",,,ETF,,3,4,5,3,ne,,,,,Na drutšvenim mrežama,Na događajima,,Kroz video tutorijale,,,,,Pre više od godinu dana,Tokom prethodnog meseca,U protekla 3 meseca,U protekla 3 meseca,da,5,U protekla 3 meseca,da,ne,Zaposlen/a,,,,,,,,,,,,,,,,,,,,,,član tima,2,ne frilensujem,200,usluge za klijente,,domaće,,,,,domaće,Standardno zaposlenje (Ugovor o radu),,,,,,,,,,500€ i manje,25,12,ne,,,plaćena odsustva,plaćene obuke i treninge,,,,,3,bolji radni uslovi,"da, planiram",servisan / autsorsing biznis,,,,/,,10/15/2015 13:21:53,10/15/2015 13:32:35
Muški,Beograd,,23,2,HTML/CSS,,,,Java,Javascript,,,,,,SQL,,,2,,,,,,,,2,,JEE,,,,,,1,,,,,JSF,,,,,,,,,,,,,,,,2,,web,,,,C#,,,,,Python,,,,,,,,junior developer,Ne koristim,,,,,,,Eclipse,,Netbeans,,,,,Windows,,,,,"Da, fakultet",,,FON,,4,2,4,5,ne,,,Razgovorajući sa prijateljima i kolegama,,Na drutšvenim mrežama,Na događajima,,,,,Kroz kompaniju u kojoj radim,,Pre više od godinu dana,U protekla 3 meseca,Nikada,Nikada,ne,,,,,Zaposlen/a,,,,,,,,,,,,,,,,,,,,,,član tima,1,ne frilensujem,90,usluge za klijente,,,strano,,,strano,domaće,Standardno zaposlenje (Ugovor o radu),,,,,,,,,,600€,8,8,ne,fleksibilno radno vreme,,,,,,,,4,bolji međuljudski odnosi,ne planiram,,,,,"Vise besplatnih kurseva, na kojima bi se radili projekti, tj ljudima koji pohadjaju kurs ,bi se pruzila prilika da vide sta se to zaista desava u nekoj IT firmi.",,10/15/2015 13:26:47,10/15/2015 13:34:11
Muški,Beograd,,34,7,HTML/CSS,C,,,Java,Javascript,PHP,,,,,,,,10,2,,,,,,,3,,,,,,,,7,AngularJS,,,,jquery,,,,6,,,,,,Zasto nema Symfony ponudjen?,,,,,,,,web,,,,,,,,PHP,,,,Ruby,,,Go,,senior developer,Koristim,,Git,,,,,,,,Sublime,,PHP Storm,,,Mac OS,,,,"Da, master",,,,,3,3,5,5,da,2-4 sata,github,Razgovorajući sa prijateljima i kolegama,Prateći blogove i onlajn magazine,Na drutšvenim mrežama,Na događajima,Kroz knjige,Kroz video tutorijale,Radeći solo projekte u novim tehnologijama,Trudim se da ih inkorporiram u projekte na kojima radim,Kroz kompaniju u kojoj radim,,Tokom prethodnog meseca,Tokom prethodnog meseca,Pre više od godinu dana,Tokom prethodnog meseca,da,1,Pre više od godinu dana,da,ne,Samozaposlen/a: (su)vlasnik svoje firme,,,,,,,,,,,,,,,,1,zaposlen/a u firmi,usluge za klijente,,,3000-3500€,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lose, mnogo ljudi koji se promovisu zbog licnog interesa. ",,10/15/2015 13:30:58,10/15/2015 13:35:48
Muški,Beograd,,30,8,HTML/CSS,,,,,Javascript,PHP,,,,,SQL,,Coldfusion,8,,,,,,,,,,,,,,,,8,,BackboneJS,,,jQuery,,,,8,,Drupal,,,,,,,,,,8,,web,,,,,,,,PHP,Python,,,,,,,,senior developer,Koristim,,Git,,,,,,,,,,PHP Storm,,Windows,,Linux,,,"Da, master",,,,,3,3,5,4,da,1 sat ili manje,sopstveni sajt,Razgovorajući sa prijateljima i kolegama,Prateći blogove i onlajn magazine,Na drutšvenim mrežama,Na događajima,,,Radeći solo projekte u novim tehnologijama,Trudim se da ih inkorporiram u projekte na kojima radim,Kroz kompaniju u kojoj radim,,U protekla 3 meseca,U protekla 3 meseca,U proteklih 6 meseci,Tokom prethodnog meseca,da,2,U proteklih 6 meseci,ne,ne,Samozaposlen/a: (su)vlasnik svoje firme,,,,,,,,,,,,,,,,16,zaposlen/a u firmi,usluge za klijente,sopstveni proizvodi za lok/reg tržište,sopstveni proizvodi za globalno tržište,"1,000€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/15/2015 13:31:36,10/15/2015 13:36:08
Muški,,Smederevo,28,4,HTML/CSS,,,,,Javascript,PHP,,,,,SQL,,,4,,,,,,,,,,,,,,,,4,,,,,,,,,4,,,,,Laravel,,,,,,,4,,web,HTML/CSS,,,,Node,,,PHP,,,Swift,,,,,,mid-level developer,Koristim,,Git,,,,,,,,Sublime,,,,Windows,,,,,Studirao i nikad završio/la,,,,,1,2,5,5,da,1 sat ili manje,github,Razgovorajući sa prijateljima i kolegama,,Na drutšvenim mrežama,,,Kroz video tutorijale,,Trudim se da ih inkorporiram u projekte na kojima radim,Kroz kompaniju u kojoj radim,,U proteklih 6 meseci,Tokom prethodnog meseca,Nikada,U proteklih 6 meseci,ne,,,,,Zaposlen/a,,,,,,,,,,,,,,,,,,,,,,član tima,2,ne frilensujem,7,usluge za klijente,,domaće,,,,strano,,,,,,,,,"Deo na ruke, deo po Ugovoru",,,"1,000€",20,8,da,fleksibilno radno vreme,,plaćena odsustva,,,,,,4,bolja plata,"možda, ako se pojavi dobra prilika",,,,,,,10/15/2015 13:32:20,10/15/2015 13:36:13
Muški,Niš,,29,4,,,,C#,Java,,PHP,,,,,,,Android,,,1,,.NET,,,,4,Android,JEE,,,,,,,,,,,,,,,1,,,,,Laravel,,,,,,,,,standalone,,,,,,,,,Python,,,Ruby,,,,,senior developer,Koristim,SVN,Git,,,,,Eclipse,,,Sublime,Visual Studio,,,Windows,,Linux,,,"Da, master",,,,,5,2,5,4,ne,,,Razgovorajući sa prijateljima i kolegama,,,,,,,Trudim se da ih inkorporiram u projekte na kojima radim,Kroz kompaniju u kojoj radim,,Nikada,Tokom prethodnog meseca,Pre više od godinu dana,Pre više od godinu dana,ne,,,,,Samozaposlen/a: (su)vlasnik svoje firme,,,,,,,,,,,,,,,,1,zaposlen/a u firmi,usluge za klijente,,,1500-1700€,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/15/2015 13:30:12,10/15/2015 13:36:55
Muški,Beograd,,22,1,,C,C++,,Java,,,,,,,,,,,2,,,,,,2,1,Android,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C++,C#,,Java,Javascript,PHP,,,,,,,,,junior developer,Koristim,SVN,,,,,,Eclipse,,,,Visual Studio,,,Windows,,,,,"Da, fakultet",,,ETF,,3,4,5,4,ne,,,Razgovorajući sa prijateljima i kolegama,,Na drutšvenim mrežama,,Kroz knjige,,,,,,Tokom prethodnog meseca,Tokom prethodnog meseca,Nikada,Nikada,ne,,,,,Zaposlen/a,,,,,,,,,,,,,,,,,,,,,,član tima,1,ne frilensujem,350,usluge za klijente,,domaće,,,,strano,,Standardno zaposlenje (Ugovor o radu),,,,,,,,,,500€ i manje,15,8,ne,fleksibilno radno vreme,,plaćena odsustva,plaćene obuke i treninge,,,dodatno zdravstveno i/ili penziono osiguranje,,4,želja za sticanjem novih znanja i iskustava,"da, planiram",startap / proizvod za globalno tržište,,,,,,10/15/2015 13:32:53,10/15/2015 13:37:01
Muški,Niš,,24,1,,,C++,C#,,,,,,,,,,,,,1,,,Unity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,standalone,,,,C#,,,,,,,,,,,,,junior developer,Ne koristim,,,,,,,,,,,Visual Studio,,,Windows,,,,,"Da, master",,,,,3,3,3,4,ne,,,Razgovorajući sa prijateljima i kolegama,,,,,,,,,,Nikada,Tokom prethodnog meseca,Nikada,Nikada,ne,,,,,Nezaposlen/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"možda, ako se pojavi dobra prilika",,,,,,,10/15/2015 13:34:22,10/15/2015 13:37:24
Muški,Beograd,,34,2,HTML/CSS,,,,,Javascript,PHP,,,,Ruby,,,,3,,,,,,,,,,,,,,,,1,,,React,Node,,Express,,,2,WordPress,,,,,,,,,1,,,,web,,,,,Node,,Javascript,,Python,,,,,Scala,Go,,junior developer,Koristim,,Git,,,,Atom,,,,Sublime,,,,,Mac OS,,,,Studirao i nikad završio/la,,,,,2,4,5,4,da,2-4 sata,github,Razgovorajući sa prijateljima i kolegama,Prateći blogove i onlajn magazine,Na drutšvenim mrežama,,,,,,,,U protekla 3 meseca,Tokom prethodnog meseca,U protekla 3 meseca,U protekla 3 meseca,ne,,,,,Samozaposlen/a — (freelance),,,,Zapadna Evropa,,,Severna Amerika,,,preko preporuke,,Elance,,UpWork (bivši ODesk),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"da, planiram",servisan / autsorsing biznis,,,,,,10/15/2015 13:33:22,10/15/2015 13:37:39
